,Team Name,Year,Wins,Losses,OT Losses,Win %,Goals For,Goals Against,+/-
375,Boston Bruins,2005,29,37,1060,0.354,230,266,-36
376,Buffalo Sabres,2005,52,24,60,0.634,281,239,42
377,Calgary Flames,2005,46,25,1010,0.561,218,200,18
378,Carolina Hurricanes,2005,52,22,80,0.634,294,260,34
379,Columbus Blue Jackets,2005,35,43,40,0.427,223,279,-56
380,Chicago Blackhawks,2005,26,43,1030,0.317,211,285,-74
381,Colorado Avalanche,2005,43,30,90,0.524,283,257,26
382,Dallas Stars,2005,53,23,60,0.646,265,218,47
383,Detroit Red Wings,2005,58,16,80,0.707,305,209,96
384,Edmonton Oilers,2005,41,28,1030,0.5,256,251,5
385,Florida Panthers,2005,37,34,1010,0.451,240,257,-17
386,Los Angeles Kings,2005,42,35,50,0.512,249,270,-21
387,Minnesota Wild,2005,38,36,80,0.463,231,215,16
388,Montreal Canadiens,2005,42,31,90,0.512,243,247,-4
389,Nashville Predators,2005,49,25,80,0.598,259,227,32
390,New Jersey Devils,2005,46,27,90,0.561,242,229,13
391,New York Islanders,2005,36,40,60,0.439,230,278,-48
392,New York Rangers,2005,44,26,1020,0.537,257,215,42
393,Ottawa Senators,2005,52,21,90,0.634,314,211,103
394,Philadelphia Flyers,2005,45,26,1010,0.549,267,259,8
395,Phoenix Coyotes,2005,38,39,50,0.463,246,271,-25
396,Pittsburgh Penguins,2005,22,46,1040,0.268,244,316,-72
397,San Jose Sharks,2005,44,27,1010,0.537,266,242,24
398,St. Louis Blues,2005,21,46,1050,0.256,197,292,-95
399,Tampa Bay Lightning,2005,43,33,60,0.524,252,260,-8
400,Toronto Maple Leafs,2005,41,33,80,0.5,257,270,-13
401,Vancouver Canucks,2005,42,32,80,0.512,256,255,1
402,Washington Capitals,2005,29,41,1020,0.354,237,306,-69
403,Anaheim Ducks,2006,48,20,1040,0.585,258,208,50
404,Atlanta Thrashers,2006,43,28,1010,0.524,246,245,1
405,Boston Bruins,2006,35,41,60,0.427,219,289,-70
406,Buffalo Sabres,2006,53,22,70,0.646,308,242,66
407,Calgary Flames,2006,43,29,1000,0.524,258,226,32
408,Carolina Hurricanes,2006,40,34,80,0.488,241,253,-12
409,Columbus Blue Jackets,2006,33,42,70,0.402,201,249,-48
410,Chicago Blackhawks,2006,31,42,90,0.378,201,258,-57
411,Colorado Avalanche,2006,44,31,70,0.537,272,251,21
412,Dallas Stars,2006,50,25,70,0.61,226,197,29
413,Detroit Red Wings,2006,50,19,1030,0.61,254,199,55
414,Edmonton Oilers,2006,32,43,70,0.39,195,248,-53
415,Florida Panthers,2006,35,31,1060,0.427,247,257,-10
416,Los Angeles Kings,2006,27,41,1040,0.329,227,283,-56
417,Minnesota Wild,2006,48,26,80,0.585,235,191,44
418,Montreal Canadiens,2006,42,34,60,0.512,245,256,-11
419,Nashville Predators,2006,51,23,80,0.622,272,212,60
420,New Jersey Devils,2006,49,24,90,0.598,216,201,15
421,New York Islanders,2006,40,30,1020,0.488,248,240,8
422,New York Rangers,2006,42,30,1000,0.512,242,216,26
423,Ottawa Senators,2006,48,25,90,0.585,288,222,66
424,Philadelphia Flyers,2006,22,48,1020,0.268,214,303,-89
425,Phoenix Coyotes,2006,31,46,50,0.378,216,284,-68
426,Pittsburgh Penguins,2006,47,24,1010,0.573,277,246,31
427,San Jose Sharks,2006,51,26,50,0.622,258,199,59
428,St. Louis Blues,2006,34,35,1030,0.415,214,254,-40
429,Tampa Bay Lightning,2006,44,33,50,0.537,253,261,-8
430,Toronto Maple Leafs,2006,40,31,1010,0.488,258,269,-11
431,Vancouver Canucks,2006,49,26,70,0.598,222,201,21
432,Washington Capitals,2006,28,40,1040,0.341,235,286,-51
433,Anaheim Ducks,2007,47,27,80,0.573,205,191,14
434,Atlanta Thrashers,2007,34,40,80,0.415,216,272,-56
435,Boston Bruins,2007,41,29,1020,0.5,212,222,-10
436,Buffalo Sabres,2007,39,31,1020,0.476,255,242,13
437,Calgary Flames,2007,42,30,1000,0.512,229,227,2
438,Carolina Hurricanes,2007,43,33,60,0.524,252,249,3
439,Columbus Blue Jackets,2007,34,36,1020,0.415,193,218,-25
440,Chicago Blackhawks,2007,40,34,80,0.488,239,235,4
441,Colorado Avalanche,2007,44,31,70,0.537,231,219,12
442,Dallas Stars,2007,45,30,70,0.549,242,207,35
443,Detroit Red Wings,2007,54,21,70,0.659,257,184,73
444,Edmonton Oilers,2007,41,35,60,0.5,235,251,-16
445,Florida Panthers,2007,38,35,90,0.463,216,226,-10
446,Los Angeles Kings,2007,32,43,70,0.39,231,266,-35
447,Minnesota Wild,2007,44,28,1000,0.537,223,218,5
448,Montreal Canadiens,2007,47,25,1000,0.573,262,222,40
449,Nashville Predators,2007,41,32,90,0.5,230,229,1
